time,participant,order,category
0:05:12,participant12,2,0
0:05:13,participant12,2,0
0:05:21,participant12,2,0
0:05:23,participant12,2,0
0:05:24,participant12,2,0
0:05:25,participant12,2,0
0:05:26,participant12,2,0
0:05:27,participant12,2,0
0:05:28,participant12,2,0
0:05:31,participant12,2,0
0:05:33,participant12,2,0
0:05:35,participant12,2,0
0:05:37,participant12,2,0
0:05:40,participant12,2,0
0:05:45,participant12,2,0
0:05:49,participant12,2,0
0:05:51,participant12,2,0
0:05:51,participant12,2,0
0:05:52,participant12,2,0
0:05:53,participant12,2,0
0:05:54,participant12,2,0
0:05:57,participant12,2,0
0:05:59,participant12,2,0
0:06:01,participant12,2,0
0:06:04,participant12,2,0
0:06:05,participant12,2,0
0:06:09,participant12,2,0
0:06:10,participant12,2,0
0:06:12,participant12,2,0
0:06:14,participant12,2,0
0:06:16,participant12,2,0
0:06:17,participant12,2,0
0:06:18,participant12,2,0
0:06:21,participant12,2,0
0:06:23,participant12,2,0
0:06:23,participant12,2,0
0:06:25,participant12,2,0
0:06:27,participant12,2,0
0:06:29,participant12,2,0
0:06:30,participant12,2,0
0:06:32,participant12,2,0
0:06:33,participant12,2,0
0:06:34,participant12,2,0
0:06:38,participant12,2,0
0:06:39,participant12,2,0
0:06:40,participant12,2,0
0:06:42,participant12,2,0
0:06:42,participant12,2,0
0:06:44,participant12,2,0
0:06:45,participant12,2,0
0:06:47,participant12,2,0
0:06:48,participant12,2,0
0:06:50,participant12,2,0
0:06:51,participant12,2,0
0:06:52,participant12,2,0
0:07:00,participant12,2,0
0:07:03,participant12,2,0
0:07:06,participant12,2,0
0:07:08,participant12,2,0
0:07:10,participant12,2,0
0:07:14,participant12,2,0
0:07:18,participant12,2,0
0:07:19,participant12,2,0
0:07:21,participant12,2,0
0:07:23,participant12,2,0
0:07:24,participant12,2,0
0:07:25,participant12,2,0
0:07:28,participant12,2,0
0:07:29,participant12,2,0
0:07:31,participant12,2,0
0:07:34,participant12,2,0
0:07:49,participant12,2,0
0:07:56,participant12,2,0
0:08:10,participant12,2,0
0:08:12,participant12,2,0
0:08:15,participant12,2,0
0:08:15,participant12,2,0
0:08:16,participant12,2,0
0:08:19,participant12,2,0
0:08:20,participant12,2,0
0:08:23,participant12,2,0
0:08:24,participant12,2,0
0:08:31,participant12,2,0
0:08:33,participant12,2,0
0:08:35,participant12,2,0
0:08:36,participant12,2,0
0:08:41,participant12,2,0
0:08:45,participant12,2,0
0:08:46,participant12,2,0
0:08:48,participant12,2,0
0:08:50,participant12,2,0
0:08:54,participant12,2,0
0:08:55,participant12,2,0
0:08:56,participant12,2,0
0:08:59,participant12,2,0
0:09:02,participant12,2,0
0:09:07,participant12,2,0
0:09:23,participant12,2,1
0:09:25,participant12,2,1
0:09:28,participant12,2,0
0:09:33,participant12,2,0
0:09:33,participant12,2,0
0:09:35,participant12,2,0
0:09:37,participant12,2,0
0:09:39,participant12,2,0
0:09:39,participant12,2,0
0:09:42,participant12,2,0
0:09:44,participant12,2,0
0:09:45,participant12,2,0
0:09:46,participant12,2,1
0:09:48,participant12,2,0
0:09:50,participant12,2,0
